gene_symbol	inheritance_class	LOEUF	missense	geneIds
EHMT1	Dom	0.072	1.16	ENSG00000181090
F10	recessive	0.97	1.2	ENSG00000126218
F13B	recessive	0.853	0.568	ENSG00000143278
F8	recessive	0.089	2.47	ENSG00000185010
FANCL	recessive	1.61	-1.31	ENSG00000115392
FGD4	recessive	0.462	2.14	ENSG00000139132
FLAD1	recessive	0.592	0.581	ENSG00000160688
FMO3	recessive	1.58	-0.163	ENSG00000007933
GJB1	recessive	0.486	2.03	ENSG00000169562
GP6	recessive	1.61	-0.415	ENSG00000088053
GP9	recessive	1.46	0.163	ENSG00000169704
HGD	recessive	0.936	0.29	ENSG00000113924
HPS3	recessive	1.02	0.16	ENSG00000163755
HPS4	recessive	0.633	-0.804	ENSG00000100099
HPS6	recessive	0.714	-0.0257	ENSG00000166189
ITK	recessive	0.712	1.53	ENSG00000113263
LGI1	Dom	0.191	2.78	ENSG00000108231
MEN1	Dom	0.171	3.25	ENSG00000133895
MTMR2	recessive	0.654	1.22	ENSG00000087053
NF2	Dom	0.086	2.29	ENSG00000186575
PEX14	recessive	0.518	1.27	ENSG00000142655
PORCN	recessive	0.135	2.37	ENSG00000102312
PRKG1	Dom	0.235	2.98	ENSG00000185532
PYROXD1	recessive	0.966	0.0969	ENSG00000121350
RB1	Dom	0.126	2.67	ENSG00000139687
RPS10	Dom	0.273	1.24	ENSG00000124614
RPS24	Dom	0.591	1.16	ENSG00000138326
SCARB2	recessive	0.724	1.32	ENSG00000138760
SLC6A19	recessive	1.42	-0.0401	ENSG00000174358
STAC3	recessive	0.754	0.906	ENSG00000185482
SUOX	recessive	1.08	0.448	ENSG00000139531
UBE2A	recessive	0.537	2.46	ENSG00000077721
ABCA4	recessive	0.91	-0.658	ENSG00000198691
ADAMTSL4	recessive	1.09	0.08	ENSG00000143382
ALDH7A1	Dom	1.24	0.368	ENSG00000164904
AMPD2	recessive	0.638	2.83	ENSG00000116337
ANK2	Dom	0.106	1.96	ENSG00000145362
BARD1	Dom	1.36	-0.548	ENSG00000138376
C1QC	recessive	1.09	0.432	ENSG00000159189
CACNA2D2	recessive	0.229	3	ENSG00000007402
CDC42	Dom	0.501	3.04	ENSG00000070831
CRTAP	recessive	0.857	-0.441	ENSG00000170275
CSF3R	recessive	0.766	1.2	ENSG00000119535
CTLA4	Dom	0.334	1.69	ENSG00000163599
CTRC	Dom	1.69	-0.134	ENSG00000162438
CUL3	Dom	0.228	4.75	ENSG00000036257
DARS2	Dom	0.915	1.19	ENSG00000117593
DGUOK	recessive	1.19	-0.468	ENSG00000114956
EFEMP1	Dom	0.153	1.82	ENSG00000115380
EVC2	Dom	1.06	-2.14	ENSG00000173040
FBXO11	Dom	0.097	4.38	ENSG00000138081
FMN2	recessive	0.274	0.318	ENSG00000155816
GGCX	recessive	0.93	0.882	ENSG00000115486
GLRB	recessive	0.663	0.83	ENSG00000109738
HESX1	Dom	1.24	-0.157	ENSG00000163666
HTT	Dom	0.176	2.78	ENSG00000197386
IL12B	recessive	0.919	0.567	ENSG00000113302
IL7R	recessive	1.04	-1.29	ENSG00000168685
KLHL3	Dom	0.337	2.99	ENSG00000146021
MLH1	recessive	0.575	-0.304	ENSG00000076242
MOCS1	recessive	1.08	-0.621	ENSG00000124615
MYOC	Dom	1.25	0.52	ENSG00000034971
NCF2	recessive	0.743	1.04	ENSG00000116701
NDUFS2	recessive	0.56	1.47	ENSG00000158864
NFIA	Dom	0.202	3.23	ENSG00000162599
NNT	recessive	0.311	2.08	ENSG00000112992
NR3C1	Dom	0.32	1.84	ENSG00000113580
OPA1	recessive	0.294	1.97	ENSG00000198836
POLR1C	recessive	1.4	-1.44	ENSG00000171453
REEP1	Dom	0.23	1.35	ENSG00000068615
ROBO2	Dom	0.159	1.65	ENSG00000185008
SCN2A	Dom	0.127	6.46	ENSG00000136531
SH3TC2	recessive	0.813	-0.713	ENSG00000169247
SLC3A1	recessive	1.62	-3.14	ENSG00000138079
SLC45A2	recessive	1.01	-1.11	ENSG00000164175
SLC6A1	Dom	0.15	4.18	ENSG00000157103
SNRNP200	Dom	0.082	5.94	ENSG00000144028
SQSTM1	recessive	0.802	-0.94	ENSG00000161011
TBX19	recessive	0.979	0.564	ENSG00000143178
TDP2	recessive	1.13	0.115	ENSG00000111802
TMEM127	Dom	1.15	0.448	ENSG00000135956
TTC21B	recessive	0.852	-0.409	ENSG00000123607
TTN	Dom	0.354	-1.1	ENSG00000155657
UGDH	recessive	0.722	2.3	ENSG00000109814
ADAMTSL2	recessive	0.735	1.25	ENSG00000197859
AICDA	recessive	1.33	1.34	ENSG00000111732
ALG13	recessive	0.16	1.15	ENSG00000101901
AMELX	recessive	0.947	0.957	ENSG00000125363
AMHR2	recessive	0.934	0.394	ENSG00000135409
APOA1	Dom	1.34	0.51	ENSG00000118137
APRT	recessive	1.96	-0.238	ENSG00000198931
ATM	Dom	0.71	1.1	ENSG00000149311
ATP6V0A4	recessive	1	0.855	ENSG00000105929
ATXN2	Dom	0.333	2.35	ENSG00000204842
ATXN3	Dom	0.492	1.35	ENSG00000066427
AURKC	recessive	0.726	0.502	ENSG00000105146
AVPR2	recessive	0.715	1.01	ENSG00000126895
BEST1	recessive	1.49	0.617	ENSG00000167995
BHLHA9	recessive	1.89	0.0222	ENSG00000205899
BRCA2	recessive	0.635	-1.29	ENSG00000139618
C1S	recessive	0.596	0.559	ENSG00000182326
CAPN1	recessive	0.706	1.68	ENSG00000014216
CD40LG	recessive	0.557	1.3	ENSG00000102245
CDAN1	recessive	0.675	-0.937	ENSG00000140326
CHD3	Dom	0.147	6.15	ENSG00000170004
CHEK2	recessive	1.53	-0.45	ENSG00000183765
CHEK2	Dom	1.53	-0.45	ENSG00000183765
CLCN5	recessive	0.279	2.53	ENSG00000171365
CRLF1	recessive	0.908	0.475	ENSG00000006016
CSNK2A1	Dom	0.297	3.71	ENSG00000101266
CTSC	recessive	1.04	-0.143	ENSG00000109861
CUBN	recessive	0.647	-1.17	ENSG00000107611
CYBB	recessive	0.193	2.19	ENSG00000165168
CYP19A1	recessive	0.877	0.535	ENSG00000137869
DCLRE1C	recessive	0.711	-0.678	ENSG00000152457
DLG4	Dom	0.238	4.93	ENSG00000132535
DONSON	recessive	0.907	0.243	ENSG00000159147
DPY19L2	recessive	0.906	0.712	ENSG00000177990
DSG2	Dom	0.79	0.296	ENSG00000046604
EGR2	Dom	0.604	2.44	ENSG00000122877
FA2H	recessive	0.556	0.456	ENSG00000103089
FAS	Dom	0.441	1.23	ENSG00000026103
FGF8	Dom	0.51	1.57	ENSG00000107831
FRMPD4	recessive	0.083	1.95	ENSG00000169933
G6PD	recessive	0.318	2	ENSG00000160211
GNAO1	Dom	0.261	3.19	ENSG00000087258
GNB5	recessive	0.974	1.5	ENSG00000069966
GRIN2D	Dom	0.167	4.85	ENSG00000105464
GUCY2D	recessive	0.748	0.781	ENSG00000132518
HDAC8	recessive	0.297	2.82	ENSG00000147099
HUWE1	recessive	0.06	8.87	ENSG00000086758
IKBKB	recessive	0.29	2.59	ENSG00000104365
INVS	recessive	0.919	1.07	ENSG00000119509
ITGA2B	recessive	0.756	1.23	ENSG00000005961
ITGB2	recessive	0.99	0.77	ENSG00000160255
JPH3	Dom	0.202	-0.318	ENSG00000154118
KCNA5	Dom	0.919	-0.054	ENSG00000130037
KCNE1	Dom	1.93	-0.616	ENSG00000180509
KCNH2	Dom	0.274	3.37	ENSG00000055118
KDM6A	recessive	0.161	2.95	ENSG00000147050
KDM6B	Dom	0.14	1.32	ENSG00000132510
KIAA0753	recessive	1.11	0.207	ENSG00000198920
KISS1R	recessive	0.648	0.89	ENSG00000116014
KMT2D	Dom	0.103	3.73	ENSG00000167548
LCA5	recessive	0.649	-0.621	ENSG00000135338
LPAR6	recessive	1.27	0.114	ENSG00000139679
MADD	recessive	0.576	1.1	ENSG00000110514
MAT1A	Dom	0.809	1.65	ENSG00000151224
MKRN3	Dom	0.634	-0.423	ENSG00000179455
MMP2	recessive	0.365	0.71	ENSG00000087245
MN1	Dom	0.087	2.16	ENSG00000169184
MPDZ	recessive	0.89	-2.98	ENSG00000107186
MSL3	recessive	0.178	1.93	ENSG00000005302
MYBPC3	Dom	0.588	1.45	ENSG00000134571
MYH11	Dom	0.305	1.44	ENSG00000133392
MYO1E	recessive	0.442	0.169	ENSG00000157483
NDUFAF5	recessive	1.2	0.15	ENSG00000101247
NKX6-2	recessive	1.31	-0.139	ENSG00000148826
NOP56	Dom	0.404	0.605	ENSG00000101361
OCA2	recessive	0.856	-0.833	ENSG00000104044
PABPN1	Dom	0.569	1.81	ENSG00000100836
PCDH19	recessive	0.126	2.59	ENSG00000165194
PDE6C	recessive	0.866	1.14	ENSG00000095464
PDX1	Dom	1.05	-0.266	ENSG00000139515
PHIP	Dom	0.113	5.14	ENSG00000146247
PMP22	Dom	0.386	0.417	ENSG00000109099
POLG	Dom	0.555	-0.742	ENSG00000140521
PRKCG	Dom	0.203	3.06	ENSG00000126583
PROKR2	Dom	1.57	-0.119	ENSG00000101292
PRPF31	Dom	0.302	3.05	ENSG00000105618
PRX	recessive	0.984	-0.131	ENSG00000105227
CHST6	recessive	1.82	-0.9	ENSG00000183196
DPYS	recessive	1.17	0.335	ENSG00000147647
PNP	recessive	1.15	0.439	ENSG00000198805
RDH5	recessive	1.61	0.394	ENSG00000135437
RFXANK	recessive	1.12	0.266	ENSG00000064490
SLC39A8	recessive	0.465	1.1	ENSG00000138821
STT3A	recessive	0.488	3.62	ENSG00000134910
ACVR2B	Dom	0.377	2.04	ENSG00000114739
ADAM9	recessive	0.417	1.9	ENSG00000168615
ADAMTS18	recessive	0.928	-3.51	ENSG00000140873
ADCY5	Dom	0.254	3.4	ENSG00000173175
ADCY6	recessive	0.442	2.68	ENSG00000174233
AGBL5	recessive	0.679	1.29	ENSG00000084693
AIMP2	recessive	0.967	-0.849	ENSG00000106305
AMMECR1	recessive	0.472	1.08	ENSG00000101935
AMPD1	recessive	1.2	-0.457	ENSG00000116748
ANKLE2	recessive	0.847	0.343	ENSG00000176915
ANO10	recessive	1.13	0.317	ENSG00000160746
AP2M1	Dom	0.19	4.88	ENSG00000161203
AP5Z1	recessive	1.47	-2.97	ENSG00000242802
ARHGEF18	recessive	0.455	2.25	ENSG00000104880
ARL2BP	recessive	1.35	0.826	ENSG00000102931
ARL6IP1	recessive	0.777	1.07	ENSG00000170540
ARMC2	recessive	0.79	0.736	ENSG00000118690
ASPM	recessive	0.743	-0.736	ENSG00000066279
ATAD1	recessive	0.754	2.1	ENSG00000138138
ATL3	Dom	0.904	1.15	ENSG00000184743
B4GALNT1	recessive	0.793	0.924	ENSG00000135454
BLNK	recessive	0.391	1.5	ENSG00000095585
BLOC1S3	recessive	1.91	-0.334	ENSG00000189114
BMP1	recessive	0.456	1.99	ENSG00000168487
C1QTNF5	Dom	0.503	1.16	ENSG00000223953
C4B	recessive	0.406	2.02	ENSG00000224389
CABP4	recessive	1.54	-0.517	ENSG00000175544
CD247	recessive	0.824	-0.307	ENSG00000198821
CD3D	recessive	1.46	0.00952	ENSG00000167286
CD3E	recessive	0.923	0.304	ENSG00000198851
CD3G	recessive	1.22	0.0765	ENSG00000160654
CDCA7	recessive	0.583	1.59	ENSG00000144354
CDK5RAP2	recessive	0.663	-0.37	ENSG00000136861
CFHR5	Dom	1.83	-0.903	ENSG00000134389
CHKB	recessive	0.916	-0.533	ENSG00000100288
CHMP4B	Dom	0.302	2.38	ENSG00000101421
CHRNA2	Dom	1.26	-0.301	ENSG00000120903
CHST11	recessive	0.563	1.84	ENSG00000171310
CLDN16	recessive	0.757	-0.0768	ENSG00000113946
CNGA1	recessive	0.928	0.441	ENSG00000198515
CNGB1	recessive	1.15	-0.828	ENSG00000070729
COPA	Dom	0.105	3.56	ENSG00000122218
COQ7	recessive	1.49	-0.463	ENSG00000167186
CORO1A	recessive	0.32	2.48	ENSG00000102879
COX20	recessive	1.48	0.293	ENSG00000203667
COX6A1	recessive	1.76	-1.42	ENSG00000111775
CRADD	recessive	0.435	0.0968	ENSG00000169372
CRYGD	Dom	1.5	0.0808	ENSG00000118231
CRYGS	Dom	0.981	0.243	ENSG00000213139
CTBP1	Dom	0.278	3.31	ENSG00000159692
CTPS1	recessive	0.287	3.69	ENSG00000171793
CWC27	recessive	0.899	0.762	ENSG00000153015
CYBA	recessive	1.63	0.215	ENSG00000051523
CYP11A1	recessive	0.881	0.769	ENSG00000140459
CYP27B1	recessive	0.983	0.0655	ENSG00000111012
DCN	Dom	0.536	0.801	ENSG00000011465
DDRGK1	recessive	1.06	0.557	ENSG00000198171
DHX38	recessive	0.607	2.67	ENSG00000140829
DNAJC19	recessive	1.31	0.876	ENSG00000205981
DNAL1	recessive	0.945	1.19	ENSG00000119661
DNASE1L3	recessive	1.12	-0.0255	ENSG00000163687
DNMBP	recessive	0.721	0.651	ENSG00000107554
DOCK2	recessive	0.261	3.94	ENSG00000134516
DPF2	Dom	0.161	2.9	ENSG00000133884
DRAM2	recessive	1.08	0.454	ENSG00000156171
DSC3	recessive	1.2	-0.648	ENSG00000134762
DSG4	recessive	0.821	-1.02	ENSG00000175065
EARS2	recessive	1.02	0.108	ENSG00000103356
EBF3	Dom	0.15	3.61	ENSG00000108001
EED	Dom	0.187	2.73	ENSG00000074266
ELOVL5	Dom	0.355	1.52	ENSG00000012660
ENTPD1	recessive	0.602	0.832	ENSG00000138185
EOGT	recessive	0.985	-0.0882	ENSG00000163378
EPB41	recessive	0.519	0.922	ENSG00000159023
EPB42	recessive	0.773	0.939	ENSG00000166947
ERLIN2	recessive	0.833	1.88	ENSG00000147475
EYS	recessive	0.834	0.318	ENSG00000188107
FAM149B1	recessive	1.05	1.56	ENSG00000138286
FAM161A	recessive	1.01	-0.495	ENSG00000170264
FAM83H	Dom	0.359	-0.417	ENSG00000180921
FANCI	recessive	1.02	-1.35	ENSG00000140525
FASTKD2	recessive	0.75	0.666	ENSG00000118246
GABRB2	Dom	0.385	3.4	ENSG00000145864
GALM	recessive	1.5	-0.146	ENSG00000143891
GBA2	recessive	0.94	1.67	ENSG00000070610
GHRHR	recessive	0.931	-0.497	ENSG00000106128
GMPPA	recessive	0.943	1.21	ENSG00000144591
GNB4	Dom	0.698	2.11	ENSG00000114450
GPI	recessive	0.689	1.13	ENSG00000105220
GPR179	recessive	0.819	0.835	ENSG00000188888
GRIA4	Dom	0.429	3.42	ENSG00000152578
GTPBP3	recessive	1.22	-0.0108	ENSG00000130299
GUCA1A	Dom	1.42	0.369	ENSG00000048545
HACE1	recessive	0.524	3.59	ENSG00000085382
HELLS	recessive	0.239	2.99	ENSG00000119969
HES7	recessive	0.517	0.76	ENSG00000179111
HNRNPA2B1	Dom	0.218	3	ENSG00000122566
HNRNPDL	Dom	0.553	0.701	ENSG00000152795
HOXB13	Dom	1.71	-0.00415	ENSG00000159184
HPS5	recessive	0.733	0.064	ENSG00000110756
HSD17B3	recessive	1.09	0.367	ENSG00000130948
HSD3B2	recessive	1.62	0.656	ENSG00000203859
IDH2	Dom	0.384	1.34	ENSG00000182054
IGFALS	recessive	1.84	-1.22	ENSG00000099769
IL10RB	recessive	1.12	0.645	ENSG00000243646
ISCU	recessive	1.16	0.207	ENSG00000136003
IYD	recessive	0.884	0.243	ENSG00000009765
JAGN1	recessive	1.35	0.0582	ENSG00000171135
KATNB1	recessive	0.609	1.64	ENSG00000140854
KCNJ1	recessive	1.29	-0.277	ENSG00000151704
KCNV2	recessive	1.97	-4.48	ENSG00000168263
KCTD17	Dom	0.814	1.58	ENSG00000100379
KERA	recessive	1.49	-0.324	ENSG00000139330
KIF1C	recessive	0.341	1.4	ENSG00000129250
KLHL41	recessive	0.795	0.887	ENSG00000239474
KLK4	recessive	1.46	0.0312	ENSG00000167749
KNG1	recessive	0.922	-0.112	ENSG00000113889
KREMEN1	recessive	0.642	0.778	ENSG00000183762
KRT25	recessive	1.1	0.166	ENSG00000204897
LACC1	recessive	1.08	1.64	ENSG00000179630
LAGE3	recessive	1.81	0.409	ENSG00000196976
LHB	recessive	1.76	-0.623	ENSG00000104826
LHX4	Dom	0.686	0.67	ENSG00000121454
LIPH	recessive	1.21	0.74	ENSG00000163898
LITAF	Dom	1.28	0.224	ENSG00000189067
LYRM7	recessive	1.44	0.737	ENSG00000186687
LZTFL1	recessive	0.575	1.65	ENSG00000163818
MAG	recessive	0.424	1.13	ENSG00000105695
MAGED2	recessive	0.233	2.34	ENSG00000102316
MAK	recessive	1.21	0.4	ENSG00000111837
MALT1	recessive	0.3	2.84	ENSG00000172175
MCM8	recessive	0.946	0.357	ENSG00000125885
MECR	recessive	0.848	0.111	ENSG00000116353
METTL5	recessive	1.26	0.559	ENSG00000138382
MGME1	recessive	0.84	-0.258	ENSG00000125871
MIP	Dom	0.907	1.2	ENSG00000135517
MLPH	recessive	0.9	-0.124	ENSG00000115648
MMP20	recessive	1.37	-0.567	ENSG00000137674
MOCOS	recessive	1.15	-0.45	ENSG00000075643
MOCS2	recessive	1.39	-0.0788	ENSG00000164172
MRPL44	recessive	1.64	0.0785	ENSG00000135900
MRPS34	recessive	1.72	-1.43	ENSG00000074071
MSRB3	recessive	1.16	0.313	ENSG00000174099
MTPAP	recessive	0.193	0.951	ENSG00000107951
NCF1	recessive	1.13	1.01	ENSG00000158517
NCF4	recessive	1.2	-0.227	ENSG00000100365
NDUFA11	recessive	1.54	0.541	ENSG00000174886
NDUFAF3	recessive	1.07	-0.494	ENSG00000178057
NDUFAF4	recessive	0.718	0.0626	ENSG00000123545
NDUFB3	recessive	1.94	0.316	ENSG00000119013
NDUFS6	recessive	1.3	-0.217	ENSG00000145494
NDUFV2	recessive	0.834	-0.555	ENSG00000178127
NFKBIA	Dom	0.193	0.707	ENSG00000100906
NLRP12	Dom	1.36	-1.71	ENSG00000142405
NPRL2	Dom	0.47	1.64	ENSG00000114388
NPRL3	Dom	0.491	1.84	ENSG00000103148
NT5C2	recessive	0.704	2.64	ENSG00000076685
NUP88	recessive	0.687	-0.526	ENSG00000108559
OSGEP	recessive	1.08	0.759	ENSG00000092094
OTUD6B	recessive	1.32	0.296	ENSG00000155100
PAM16	recessive	0.86	-0.511	ENSG00000217930
PATL2	recessive	0.979	1.48	ENSG00000229474
PDE6D	recessive	1.02	1.6	ENSG00000156973
PDK3	recessive	0.546	2.32	ENSG00000067992
PHYH	recessive	1.12	0.031	ENSG00000107537
PIGC	recessive	1.06	0.788	ENSG00000135845
PIKFYVE	Dom	0.389	2.05	ENSG00000115020
PIP5K1C	recessive	0.313	2.29	ENSG00000186111
PLA2G4A	recessive	0.587	2.35	ENSG00000116711
PLAA	recessive	0.396	1.1	ENSG00000137055
PMP2	Dom	1.3	0.0996	ENSG00000147588
PMPCB	recessive	0.899	-0.216	ENSG00000105819
POC1B	recessive	0.933	-0.0928	ENSG00000139323
POFUT1	Dom	0.33	0.952	ENSG00000101346
POP1	recessive	0.758	1.12	ENSG00000104356
PPA2	recessive	1.28	0.435	ENSG00000138777
PPIB	recessive	1.6	0.299	ENSG00000166794
PRCD	recessive	1.58	0.297	ENSG00000214140
PRKDC	recessive	0.052	2.76	ENSG00000253729
PRODH	recessive	1.1	0.0649	ENSG00000100033
PRPF3	Dom	0.068	3.85	ENSG00000117360
PRPF4	Dom	0.227	1.99	ENSG00000136875
PSTPIP1	Dom	0.761	0.918	ENSG00000140368
PTPRC	recessive	0.207	1.17	ENSG00000081237
PTPRF	recessive	0.187	2.8	ENSG00000142949
QRICH2	recessive	0.933	0.792	ENSG00000129646
QRSL1	recessive	0.893	1.07	ENSG00000130348
RAB27A	recessive	1.65	-0.515	ENSG00000069974
RAB28	recessive	0.761	0.377	ENSG00000157869
RAB7A	Dom	0.277	2.28	ENSG00000075785
RANBP2	Dom	0.142	-0.776	ENSG00000153201
RBP3	recessive	0.647	-0.42	ENSG00000107618
RD3	recessive	1.73	0.608	ENSG00000198570
REEP6	recessive	1.5	-0.157	ENSG00000115255
RIPPLY2	recessive	1.26	-0.555	ENSG00000203877
RNASEH1	recessive	0.738	0.107	ENSG00000171865
RP2	recessive	0.306	0.633	ENSG00000102218
RPL11	Dom	0.296	1.69	ENSG00000142676
RPL15	Dom	0.272	1.83	ENSG00000174748
RPL26	Dom	0.376	1.64	ENSG00000161970
RPL35A	Dom	0.409	1.37	ENSG00000182899
RPL5	Dom	0.167	1.9	ENSG00000122406
RPS7	Dom	0.309	1.63	ENSG00000171863
RSPRY1	recessive	0.189	3.36	ENSG00000159579
RTN2	Dom	0.417	0.701	ENSG00000125744
RTN4IP1	recessive	0.937	0.728	ENSG00000130347
RUSC2	recessive	0.253	0.951	ENSG00000198853
SDHAF2	Dom	1.81	-0.139	ENSG00000167985
SERPINE1	recessive	0.685	0.453	ENSG00000106366
SERPINF1	recessive	1.21	-0.911	ENSG00000132386
SERPINI1	Dom	0.644	0.419	ENSG00000163536
SLC16A12	Dom	0.479	0.951	ENSG00000152779
SLC22A12	recessive	1.3	0.372	ENSG00000197891
SLC24A4	recessive	0.87	0.805	ENSG00000140090
SLC35A3	recessive	0.795	1.42	ENSG00000117620
SLC38A8	recessive	1.9	-4.34	ENSG00000166558
SLC6A9	recessive	0.633	1.98	ENSG00000196517
SLFN14	Dom	0.918	2.43	ENSG00000236320
SP7	recessive	0.558	0.501	ENSG00000170374
SPTLC2	Dom	0.39	2.04	ENSG00000100596
SSR4	recessive	0.441	0.902	ENSG00000180879
STX11	recessive	1.38	-0.131	ENSG00000135604
STXBP2	recessive	0.842	0.481	ENSG00000076944
SUCLA2	recessive	0.627	1.02	ENSG00000136143
SUCLG1	recessive	0.876	-0.217	ENSG00000163541
SUN5	recessive	1.25	0.688	ENSG00000167098
TACSTD2	recessive	1.53	0.562	ENSG00000184292
TAF4B	recessive	0.413	0.353	ENSG00000141384
TDRD9	recessive	0.649	2.36	ENSG00000156414
TENM4	Dom	0.173	2.73	ENSG00000149256
TGM6	Dom	1.37	-0.82	ENSG00000166948
TIMM50	recessive	0.646	0.0423	ENSG00000105197
TMEM126A	recessive	1.33	-0.567	ENSG00000171202
TMEM38B	recessive	0.798	-0.0505	ENSG00000095209
TNFRSF11B	recessive	0.548	0.841	ENSG00000164761
TNNI2	Dom	0.771	0.618	ENSG00000130598
TNPO3	Dom	0.515	3.44	ENSG00000064419
TOPORS	Dom	0.242	1.05	ENSG00000197579
TPI1	recessive	0.733	-0.223	ENSG00000111669
TPO	recessive	1.11	0.00335	ENSG00000115705
TRIT1	recessive	1.14	0.783	ENSG00000043514
TRPC6	Dom	0.654	2.12	ENSG00000137672
TSEN15	recessive	0.796	1.17	ENSG00000198860
TSFM	recessive	1.45	-0.217	ENSG00000123297
TSPAN12	Dom	0.457	0.767	ENSG00000106025
TTBK2	Dom	0.261	1.39	ENSG00000128881
TTLL5	recessive	0.757	-0.04	ENSG00000119685
UBIAD1	Dom	1.03	1.12	ENSG00000120942
UNC13D	recessive	0.773	-0.241	ENSG00000092929
VPS33A	recessive	0.44	1.64	ENSG00000139719
WIPF1	recessive	0.385	1.15	ENSG00000115935
XK	recessive	0.31	2.12	ENSG00000047597
ZBTB24	recessive	0.664	1.01	ENSG00000112365
ZNF335	recessive	0.501	0.55	ENSG00000198026
ZNF341	recessive	0.648	1.51	ENSG00000131061
ZP3	Dom	0.952	-0.0164	ENSG00000188372
ABCC2	recessive	1.16	-0.995	ENSG00000023839
ADK	recessive	0.798	1.5	ENSG00000156110
ALDH6A1	recessive	0.945	1.05	ENSG00000119711
ANO6	recessive	1.14	0.902	ENSG00000177119
ANTXR2	recessive	0.503	1.03	ENSG00000163297
COL27A1	recessive	0.312	0.629	ENSG00000196739
COX7B	recessive	0.815	0.424	ENSG00000131174
CRIPT	recessive	1.58	-0.395	ENSG00000119878
CXCR4	Dom	1.05	1.66	ENSG00000121966
CYCS	Dom	0.914	1.18	ENSG00000172115
DCPS	recessive	1.24	-0.495	ENSG00000110063
DDX59	recessive	0.876	0.779	ENSG00000118197
EZH2	Dom	0.146	4.68	ENSG00000106462
GMNN	Dom	0.825	0.991	ENSG00000112312
GNMT	recessive	0.951	0.354	ENSG00000124713
GSR	recessive	0.909	0.512	ENSG00000104687
GTF2E2	recessive	0.608	0.901	ENSG00000197265
HSD11B2	recessive	0.819	1.02	ENSG00000176387
KCNN4	Dom	1.01	1.62	ENSG00000104783
KHDC3L	recessive	1.16	0.196	ENSG00000203908
LPIN2	recessive	0.51	0.983	ENSG00000101577
LRPAP1	recessive	1.17	-1.03	ENSG00000163956
MPC1	recessive	1.19	1.07	ENSG00000060762
MRAP	recessive	1.78	-0.0747	ENSG00000170262
NR1H4	recessive	0.628	1.54	ENSG00000012504
RAB33B	recessive	0.597	0.629	ENSG00000172007
RNF168	recessive	1.2	-0.392	ENSG00000163961
SH3BP2	Dom	1.14	0.292	ENSG00000087266
SLC12A3	recessive	1.2	-0.936	ENSG00000070915
SLC34A2	recessive	1.09	0.145	ENSG00000157765
SMG9	recessive	1.1	1.6	ENSG00000105771
SOX5	Dom	0.188	3.15	ENSG00000134532
TALDO1	recessive	1.11	-1.13	ENSG00000177156
TBC1D7	recessive	1.61	0.144	ENSG00000145979
UVSSA	recessive	1.48	-2.03	ENSG00000163945
XPNPEP3	recessive	0.879	-0.0995	ENSG00000196236
ABAT	recessive	0.567	0.573	ENSG00000183044
ADAMTS17	recessive	0.732	-1.39	ENSG00000140470
AFF4	Dom	0.138	2.47	ENSG00000072364
ARV1	recessive	1.26	0.192	ENSG00000173409
BAAT	recessive	1.39	0.0134	ENSG00000136881
BRF1	recessive	0.602	0.139	ENSG00000185024
FAM111B	Dom	1.88	-0.234	ENSG00000189057
FAR1	recessive	0.299	3.3	ENSG00000197601
HNRNPH2	recessive	0.309	3.62	ENSG00000126945
KDM1A	Dom	0.276	4.68	ENSG00000004487
NT5E	recessive	1.18	0.604	ENSG00000135318
OPLAH	recessive	0.868	0.265	ENSG00000178814
PLEKHG2	recessive	0.611	0.801	ENSG00000090924
SCYL1	recessive	0.677	1.33	ENSG00000142186
SFTPA2	Dom	1.27	-1.16	ENSG00000185303
SLC1A4	recessive	0.637	1.73	ENSG00000115902
SLC25A3	recessive	0.623	1.24	ENSG00000075415
STX16	Dom	0.482	0.952	ENSG00000124222
SUGCT	recessive	1.03	0.536	ENSG00000175600
TBCK	recessive	0.871	0.503	ENSG00000145348
TIMP3	Dom	0.533	1.83	ENSG00000100234
TNFAIP3	Dom	0.196	1.45	ENSG00000118503
TUBG1	Dom	0.517	4.16	ENSG00000131462
TUBGCP4	recessive	0.716	2.58	ENSG00000137822
ALKBH8	recessive	0.666	0.854	ENSG00000137760
ANAPC1	recessive	0.305	0.987	ENSG00000153107
ARCN1	Dom	0.101	2.08	ENSG00000095139
ASXL2	Dom	0.146	1.71	ENSG00000143970
B9D2	recessive	1.58	-0.13	ENSG00000123810
BPTF	Dom	0.099	3.71	ENSG00000171634
CDK13	Dom	0.324	2.35	ENSG00000065883
CEP55	recessive	1.08	0.497	ENSG00000138180
CLDN10	recessive	1.22	0.536	ENSG00000134873
CNKSR2	recessive	0.185	3.61	ENSG00000149970
COA7	recessive	1.02	0.672	ENSG00000162377
COG2	recessive	0.591	0.854	ENSG00000135775
CPSF1	Dom	0.54	2.8	ENSG00000071894
CUX1	Dom	0.163	3.75	ENSG00000257923
CUX2	Dom	0.187	3.18	ENSG00000111249
DHX30	Dom	0.115	5.3	ENSG00000132153
DNAJC21	recessive	0.72	0.255	ENSG00000168724
DOCK3	recessive	0.158	3.94	ENSG00000088538
EXOSC2	recessive	1.1	0.39	ENSG00000130713
GOT2	recessive	0.623	1.39	ENSG00000125166
GPNMB	recessive	1.68	0.124	ENSG00000136235
IFNGR2	recessive	0.339	0.828	ENSG00000159128
